,yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
12763,2015,ALDS1,altuvjo01,HOU,AL,5,22,2,3,0,0,0,1,0,1.0,1,2,0,0.0,0.0,0.0,1.0
12764,2015,ALWC,altuvjo01,HOU,AL,1,4,0,1,0,0,0,1,1,0.0,0,1,0,0.0,0.0,0.0,0.0
12766,2015,NLDS2,anderbr04,LAN,NL,1,1,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
12771,2015,NLDS2,avilalu01,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12774,2015,NLDS2,baezpe01,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12779,2015,ALWC,beltrca01,NYA,AL,1,4,0,1,0,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0
12780,2015,ALWC,betande01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12781,2015,ALWC,birdgr01,NYA,AL,1,3,0,1,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
12797,2015,ALDS1,cartech02,HOU,AL,5,17,3,5,1,0,1,1,0,0.0,0,7,0,0.0,0.0,0.0,0.0
12798,2015,ALWC,cartech02,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0.0,0.0,0.0
12799,2015,ALDS1,castrja01,HOU,AL,5,14,1,1,0,0,0,2,0,0.0,1,7,0,0.0,0.0,0.0,1.0
12800,2015,ALWC,castrja01,HOU,AL,1,2,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,1.0
12826,2015,ALDS1,congeha01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12827,2015,ALDS1,correca01,HOU,AL,5,20,2,7,1,0,2,4,0,0.0,0,5,0,1.0,0.0,0.0,1.0
12828,2015,ALWC,correca01,HOU,AL,1,4,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
