,playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
4945,anderbr04,2015,NLDS2,LAN,NL,0,1,1,1,0,0,0,9,7,6,1,0,3,0.438,18.0,0.0,0.0,0.0,0.0,16.0,0,6,0.0,0.0,0.0
4949,avilalu01,2015,NLDS2,LAN,NL,0,0,2,0,0,0,0,4,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0.0,0.0,0.0
4950,baezpe01,2015,NLDS2,LAN,NL,0,0,2,0,0,0,0,1,2,3,0,2,1,0.667,81.0,0.0,0.0,0.0,0.0,5.0,0,3,0.0,0.0,0.0
4952,betande01,2015,ALWC,NYA,AL,0,0,1,0,0,0,0,5,1,1,0,1,4,0.167,5.4,0.0,0.0,0.0,0.0,7.0,0,1,0.0,0.0,0.0
4985,fieldjo03,2015,ALDS1,HOU,AL,0,0,2,0,0,0,0,5,1,2,1,2,4,0.167,10.8,0.0,0.0,0.0,0.0,8.0,1,2,0.0,0.0,0.0
4986,fiersmi01,2015,ALDS1,HOU,AL,0,0,1,0,0,0,0,3,1,1,0,0,0,0.5,9.0,0.0,0.0,0.0,0.0,4.0,0,1,1.0,1.0,0.0
4989,garciyi01,2015,NLDS2,LAN,NL,0,0,1,0,0,0,0,3,0,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0.0,0.0
4993,gregelu01,2015,ALDS1,HOU,AL,0,0,3,0,0,0,2,9,2,1,1,2,4,0.182,3.0,0.0,0.0,1.0,0.0,14.0,2,1,0.0,0.0,0.0
4994,gregelu01,2015,ALWC,HOU,AL,0,0,1,0,0,0,1,3,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0.0,0.0,0.0
4995,greinza01,2015,NLDS2,LAN,NL,1,1,2,2,0,0,0,41,11,5,3,1,17,0.229,3.29,0.0,0.0,0.0,0.0,50.0,0,5,0.0,1.0,2.0
5001,harriwi02,2015,ALDS1,HOU,AL,0,1,3,0,0,0,0,6,8,4,0,0,2,0.615,18.0,0.0,0.0,0.0,0.0,13.0,0,5,0.0,0.0,0.0
5002,harriwi02,2015,ALWC,HOU,AL,0,0,1,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0
5006,hatchch02,2015,NLDS2,LAN,NL,0,0,4,0,0,0,0,11,0,0,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1,0,0.0,0.0,0.0
5020,howeljp01,2015,NLDS2,LAN,NL,0,0,1,0,0,0,0,3,1,0,0,0,0,0.333,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,1.0,0.0
5021,janseke01,2015,NLDS2,LAN,NL,0,0,3,0,0,0,2,10,1,0,0,3,4,0.091,0.0,1.0,0.0,0.0,0.0,14.0,3,0,0.0,0.0,0.0
5022,kazmisc01,2015,ALDS1,HOU,AL,0,0,1,1,0,0,0,16,5,3,1,1,4,0.25,5.06,0.0,0.0,0.0,0.0,21.0,0,3,0.0,0.0,1.0
5024,kershcl01,2015,NLDS2,LAN,NL,1,1,2,2,0,0,0,41,7,4,2,5,19,0.149,2.63,0.0,0.0,0.0,0.0,53.0,0,4,1.0,0.0,0.0
5025,keuchda01,2015,ALDS1,HOU,AL,1,0,2,1,0,0,0,24,7,4,2,4,7,0.226,4.5,2.0,1.0,0.0,0.0,36.0,1,4,1.0,0.0,0.0
5026,keuchda01,2015,ALWC,HOU,AL,1,0,1,1,0,0,0,18,3,0,0,1,7,0.143,0.0,0.0,0.0,0.0,0.0,22.0,0,0,0.0,0.0,0.0
5043,mcculla02,2015,ALDS1,HOU,AL,0,0,1,1,0,0,0,19,2,2,1,2,7,0.095,2.84,0.0,0.0,2.0,0.0,25.0,0,2,0.0,0.0,0.0
5044,mchugco01,2015,ALDS1,HOU,AL,1,1,2,2,0,0,0,30,9,5,2,2,2,0.243,4.5,0.0,0.0,1.0,0.0,40.0,0,5,0.0,0.0,2.0
5048,millean01,2015,ALWC,NYA,AL,0,0,1,0,0,0,0,3,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0.0,0.0,0.0
5051,neshepa01,2015,ALDS1,HOU,AL,0,0,2,0,0,0,0,3,2,0,0,0,2,0.4,0.0,0.0,0.0,0.0,0.0,5.0,1,0,0.0,0.0,0.0
5059,peraljo01,2015,NLDS2,LAN,NL,0,0,1,0,0,0,0,3,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0
5061,perezol01,2015,ALDS1,HOU,AL,0,0,2,0,0,0,0,1,2,1,0,1,0,0.667,27.0,0.0,0.0,0.0,0.0,4.0,0,1,0.0,0.0,0.0
5079,sippto01,2015,ALDS1,HOU,AL,0,1,5,0,0,0,0,13,1,0,0,1,4,0.067,0.0,0.0,0.0,0.0,0.0,16.0,0,1,0.0,0.0,0.0
5080,sippto01,2015,ALWC,HOU,AL,0,0,1,0,0,0,0,3,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0.0,0.0
5089,tanakma01,2015,ALWC,NYA,AL,0,1,1,1,0,0,0,15,4,2,2,3,3,0.222,3.6,0.0,0.0,0.0,0.0,21.0,0,2,0.0,0.0,1.0
5102,wilsoju10,2015,ALWC,NYA,AL,0,0,1,0,0,0,0,4,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0.0,1.0
5103,woodal02,2015,NLDS2,LAN,NL,0,0,1,0,0,0,0,6,4,4,1,2,2,0.4,18.0,1.0,0.0,0.0,0.0,12.0,0,4,0.0,0.0,0.0
5115,avilalu01,2016,NLCS,LAN,NL,0,0,2,0,0,0,0,7,2,0,0,1,1,0.25,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0.0,1.0,0.0
5116,avilalu01,2016,NLDS2,LAN,NL,0,0,3,0,0,0,0,4,2,0,0,0,2,0.333,0.0,0.0,1.0,0.0,0.0,6.0,0,0,0.0,0.0,0.0
5117,baezpe01,2016,NLCS,LAN,NL,0,0,3,0,0,0,0,10,6,2,1,2,4,0.375,5.4,0.0,0.0,0.0,0.0,19.0,0,6,1.0,0.0,0.0
