,yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
99800,2015,NYA,AL,ackledu01,23,14.0,23,17.0,0,0,4,9,0,0,4,0,0,4,2.0,9.0,0.0
99822,2015,HOU,AL,altuvjo01,154,154.0,154,153.0,0,0,0,153,0,0,0,0,0,0,1.0,0.0,0.0
99830,2015,LAN,NL,anderbr04,31,31.0,29,31.0,31,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99845,2015,BOS,AL,arojo01,6,0.0,0,6.0,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99854,2015,LAN,NL,avilalu01,23,0.0,20,23.0,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99861,2015,LAN,NL,baezpe01,52,0.0,48,52.0,52,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99862,2015,NYA,AL,bailean01,10,0.0,1,10.0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99865,2015,LAN,NL,bakersc02,2,2.0,2,2.0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99871,2015,LAN,NL,barneau01,20,8.0,20,13.0,0,11,0,1,1,0,0,0,0,0,0.0,6.0,3.0
99873,2015,LAN,NL,barneda01,2,1.0,2,2.0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0
99875,2015,BOS,AL,barnema01,32,2.0,0,32.0,32,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99887,2015,LAN,NL,beachbr01,2,2.0,2,2.0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99900,2015,NYA,AL,beltrca01,133,128.0,133,123.0,0,0,0,0,0,0,0,0,123,123,8.0,4.0,0.0
99905,2015,NYA,AL,betande01,74,0.0,4,74.0,74,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99909,2015,BOS,AL,bettsmo01,145,141.0,145,144.0,0,0,0,0,0,0,0,133,11,144,1.0,1.0,2.0
99910,2015,BOS,AL,biancje01,3,0.0,3,3.0,0,0,0,0,2,1,0,0,0,0,0.0,0.0,1.0
99912,2015,NYA,AL,birdgr01,46,42.0,46,46.0,0,0,46,0,0,0,0,0,0,0,0.0,1.0,1.0
99925,2015,BOS,AL,bogaexa01,156,154.0,156,156.0,0,0,0,0,0,156,0,0,0,0,0.0,0.0,1.0
99927,2015,LAN,NL,bolsimi01,21,21.0,21,21.0,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99941,2015,BOS,AL,bradlja02,74,66.0,74,73.0,0,0,0,0,0,0,17,27,32,73,0.0,1.0,0.0
99945,2015,BOS,AL,breslcr01,45,2.0,4,45.0,45,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99964,2015,HOU,AL,buchaja01,5,0.0,0,5.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99965,2015,BOS,AL,buchhcl01,18,18.0,2,18.0,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99969,2015,NYA,AL,burawda01,1,0.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
99995,2015,LAN,NL,callaal01,60,26.0,60,37.0,0,0,0,0,37,0,0,0,0,0,1.0,26.0,0.0
100002,2015,NYA,AL,capuach01,22,4.0,2,22.0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100004,2015,HOU,AL,carmofa01,20,11.0,1,20.0,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
