,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
99867,ackledu01,2015,2,NYA,AL,23,52,6,15,3,2,4,11.0,0.0,0.0,4,7.0,0.0,0.0,0.0,1.0,0.0
99888,altuvjo01,2015,1,HOU,AL,154,638,86,200,40,4,15,66.0,38.0,13.0,33,67.0,8.0,9.0,3.0,6.0,17.0
99896,anderbr04,2015,1,LAN,NL,31,47,1,4,1,0,0,3.0,0.0,0.0,5,32.0,0.0,0.0,9.0,0.0,2.0
99911,arojo01,2015,1,BOS,AL,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
99920,avilalu01,2015,2,LAN,NL,23,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
99927,baezpe01,2015,1,LAN,NL,52,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
99928,bailean01,2015,1,NYA,AL,10,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
99931,bakersc02,2015,1,LAN,NL,2,3,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
99937,barneau01,2015,1,LAN,NL,20,29,4,6,2,0,0,1.0,1.0,0.0,6,6.0,0.0,1.0,1.0,0.0,2.0
99939,barneda01,2015,1,LAN,NL,2,4,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
99941,barnema01,2015,1,BOS,AL,32,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
99953,beachbr01,2015,1,LAN,NL,2,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
99966,beltrca01,2015,1,NYA,AL,133,478,57,132,34,1,19,67.0,0.0,0.0,45,85.0,2.0,2.0,0.0,6.0,12.0
99971,betande01,2015,1,NYA,AL,74,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
99975,bettsmo01,2015,1,BOS,AL,145,597,92,174,42,8,18,77.0,21.0,6.0,46,82.0,1.0,2.0,3.0,6.0,2.0
99976,biancje01,2015,1,BOS,AL,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
99978,birdgr01,2015,1,NYA,AL,46,157,26,41,9,0,11,31.0,0.0,0.0,19,53.0,0.0,1.0,0.0,1.0,1.0
99991,bogaexa01,2015,1,BOS,AL,156,613,84,196,35,3,7,81.0,10.0,2.0,32,101.0,1.0,3.0,3.0,3.0,16.0
99993,bolsimi01,2015,1,LAN,NL,21,38,1,1,1,0,0,0.0,0.0,0.0,0,23.0,0.0,0.0,2.0,0.0,0.0
100007,bradlja02,2015,1,BOS,AL,74,221,43,55,17,4,10,43.0,3.0,0.0,27,69.0,0.0,3.0,1.0,3.0,5.0
100011,breslcr01,2015,1,BOS,AL,45,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
100030,buchaja01,2015,1,HOU,AL,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
100031,buchhcl01,2015,1,BOS,AL,18,6,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
100034,burawda01,2015,1,NYA,AL,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
100061,callaal01,2015,2,LAN,NL,60,123,8,32,5,0,0,7.0,0.0,0.0,14,24.0,0.0,0.0,1.0,0.0,2.0
100068,capuach01,2015,1,NYA,AL,22,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
100070,carmofa01,2015,1,HOU,AL,20,2,1,0,0,0,0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0
100071,carpeda01,2015,1,NYA,AL,22,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
100078,cartech02,2015,1,HOU,AL,129,391,50,78,17,0,24,64.0,1.0,2.0,57,151.0,1.0,6.0,0.0,5.0,5.0
100082,castiru01,2015,1,BOS,AL,80,273,35,69,10,2,5,29.0,4.0,5.0,13,54.0,0.0,1.0,1.0,1.0,11.0
100088,castrja01,2015,1,HOU,AL,104,337,38,71,19,0,11,31.0,0.0,0.0,33,115.0,1.0,2.0,0.0,3.0,5.0
100093,cecchga01,2015,1,BOS,AL,2,4,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
100107,chapmke02,2015,1,HOU,AL,3,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
100138,congeha01,2015,1,HOU,AL,73,201,25,46,11,0,11,33.0,0.0,1.0,23,63.0,0.0,2.0,1.0,2.0,6.0
100142,cookry01,2015,2,BOS,AL,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
100149,correca01,2015,1,HOU,AL,99,387,52,108,22,1,22,68.0,14.0,4.0,40,78.0,2.0,1.0,0.0,4.0,10.0
100152,cothaca01,2015,1,NYA,AL,12,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
100155,couloda01,2015,1,LAN,NL,5,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
100160,craigal01,2015,1,BOS,AL,36,79,6,12,1,0,1,3.0,0.0,0.0,7,26.0,0.0,2.0,0.0,0.0,2.0
100163,crawfca02,2015,1,LAN,NL,69,181,19,48,9,2,4,16.0,10.0,2.0,10,41.0,1.0,0.0,0.0,0.0,3.0
100179,davieky01,2015,1,NYA,AL,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
