,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
43351,anderbr04,2015,1,LAN,NL,10,9,31,31,1,0,0,541,194,74,18,46,116,0.278,3.69,2.0,4,2.0,2,750.0,0,82,3.0,2.0,23.0
43358,arojo01,2015,1,BOS,AL,0,1,6,0,0,0,0,31,15,8,2,4,8,0.341,6.97,0.0,0,0.0,0,49.0,2,8,0.0,1.0,0.0
43364,avilalu01,2015,2,LAN,NL,0,1,23,0,0,0,0,47,13,9,2,5,18,0.224,5.17,0.0,1,1.0,0,66.0,2,9,1.0,1.0,1.0
43368,baezpe01,2015,1,LAN,NL,4,2,52,0,0,0,0,153,47,19,4,11,60,0.247,3.35,1.0,1,1.0,1,208.0,8,22,3.0,3.0,2.0
43369,bailean01,2015,1,NYA,AL,0,1,10,0,0,0,0,26,9,5,2,5,6,0.265,5.19,1.0,0,0.0,0,41.0,3,8,0.0,2.0,0.0
43371,bakersc02,2015,1,LAN,NL,0,1,2,2,0,0,0,33,11,7,4,3,8,0.262,5.73,0.0,1,0.0,0,45.0,0,7,0.0,0.0,0.0
43375,barnema01,2015,1,BOS,AL,3,4,32,2,0,0,0,129,56,26,9,15,39,0.311,5.44,0.0,4,2.0,0,199.0,7,28,2.0,0.0,4.0
43383,beachbr01,2015,1,LAN,NL,0,1,2,2,0,0,0,24,10,7,1,6,5,0.313,7.88,2.0,0,0.0,0,39.0,0,7,1.0,0.0,1.0
43394,betande01,2015,1,NYA,AL,6,4,74,0,0,0,9,252,45,14,6,40,131,0.157,1.5,2.0,9,3.0,0,332.0,17,17,1.0,1.0,4.0
43403,bolsimi01,2015,1,LAN,NL,6,6,21,21,0,0,0,328,104,44,11,45,98,0.251,3.62,3.0,6,1.0,1,466.0,0,49,3.0,2.0,13.0
43411,breslcr01,2015,1,BOS,AL,0,4,45,2,0,0,1,195,69,30,12,23,46,0.279,4.15,5.0,2,2.0,0,280.0,18,33,3.0,5.0,7.0
43422,buchaja01,2015,1,HOU,AL,0,0,5,0,0,0,0,27,5,2,1,4,5,0.161,2.0,0.0,2,1.0,0,37.0,1,2,1.0,0.0,0.0
43423,buchhcl01,2015,1,BOS,AL,7,7,18,18,1,0,0,340,114,41,6,23,107,0.26,3.26,0.0,3,5.0,0,469.0,0,48,1.0,2.0,13.0
43426,burawda01,2015,1,NYA,AL,0,0,1,0,0,0,0,2,3,4,1,1,1,0.6,54.0,0.0,0,0.0,0,6.0,0,4,0.0,0.0,0.0
43438,capuach01,2015,1,NYA,AL,0,4,22,4,0,0,0,122,52,36,6,22,38,0.31,7.97,1.0,0,3.0,0,196.0,7,38,2.0,1.0,2.0
43440,carmofa01,2015,1,HOU,AL,3,5,20,11,0,0,0,254,90,41,9,26,42,0.275,4.36,2.0,1,1.0,0,357.0,6,48,0.0,3.0,9.0
43441,carpeda01,2015,1,NYA,AL,0,1,22,0,0,0,0,56,20,10,3,7,11,0.286,4.82,1.0,0,1.0,0,82.0,2,11,3.0,1.0,2.0
43459,chapmke02,2015,1,HOU,AL,0,0,3,0,0,0,0,16,4,2,1,3,8,0.211,3.38,0.0,0,0.0,0,22.0,0,2,0.0,0.0,0.0
43481,cookry01,2015,2,BOS,AL,0,0,5,0,0,0,0,13,13,13,4,4,3,0.481,27.0,0.0,1,0.0,0,31.0,1,14,0.0,0.0,0.0
43489,cothaca01,2015,1,NYA,AL,1,0,12,0,0,0,0,29,14,7,4,1,11,0.326,6.52,0.0,0,0.0,0,45.0,4,7,1.0,0.0,0.0
43492,couloda01,2015,1,LAN,NL,0,0,5,0,0,0,0,25,9,7,0,6,7,0.265,7.56,0.0,1,0.0,0,40.0,3,7,0.0,0.0,0.0
43500,davieky01,2015,1,NYA,AL,0,0,1,0,0,0,0,7,3,0,0,0,2,0.3,0.0,0.0,0,0.0,0,10.0,1,0,0.0,0.0,1.0
43505,dedunsa01,2015,1,HOU,AL,0,1,9,2,0,0,1,63,24,16,3,9,17,0.293,6.86,0.0,3,3.0,0,96.0,4,16,1.0,1.0,3.0
